Широта;Долгота;Описание;Подпись;preset
61.090309;72.6101;Нефтеюганск, Ханты-Мансийский автономный округ - Югра;Нефтеюганск;islands#blueDotIcon
42.8921817;47.6372105;Каспийск, Республика Дагестан;Каспийск;islands#blueDotIcon
43.219228;44.7679878;Назрань, Республика Ингушетия;Назрань;islands#blueDotIcon
43.9055311;42.7157283;Кисловодск, Ставропольский край;Кисловодск;islands#blueDotIcon
56.0884031;54.2478094;Нефтекамск, Республика Башкортостан;Нефтекамск;islands#blueDotIcon
42.8246489;132.8926;Находка, Приморский край;Находка;islands#blueDotIcon
44.6062079;40.104053;Майкоп, Республика Адыгея;Майкоп;islands#blueDotIcon
44.039775;43.0706669;Пятигорск, Ставропольский край;Пятигорск;islands#blueDotIcon
55.1131951;61.6216332;Копейск, Челябинская область;Копейск;islands#blueDotIcon
55.0505685;60.1087125;Миасс, Челябинская область;Миасс;islands#blueDotIcon
53.361687;55.924641;Салават, Республика Башкортостан;Салават;islands#blueDotIcon
64.563385;39.823769;Северодвинск, Архангельская область;Северодвинск;islands#blueDotIcon
53.15538;48.474121;Сызрань, Самарская область;Сызрань;islands#blueDotIcon
69.3502367;88.2013217;Норильск, Красноярский край;Норильск;islands#blueDotIcon
58.0489536;38.8558908;Рыбинск, Ярославская область;Рыбинск;islands#blueDotIcon
53.8879117;86.7492072;Прокопьевск, Кемеровская область;Прокопьевск;islands#blueDotIcon
43.7972447;131.9520752;Уссурийск, Приморский край;Уссурийск;islands#blueDotIcon
52.5394905;85.2148673;Бийск, Алтайский край;Бийск;islands#blueDotIcon
52.01812;47.819141;Балаково, Саратовская область;Балаково;islands#blueDotIcon
53.72068;91.4406019;Абакан, Республика Хакасия;Абакан;islands#blueDotIcon
51.2305015;58.4738015;Орск, Оренбургская область;Орск;islands#blueDotIcon
56.2382157;43.4617405;Дзержинск, Нижегородская область;Дзержинск;islands#blueDotIcon
52.5443167;103.8882138;Ангарск, Иркутская область;Ангарск;islands#blueDotIcon
51.298038;37.833202;Старый Оскол, Белгородская область;Старый Оскол;islands#blueDotIcon
56.1517085;101.6334907;Братск, Иркутская область;Братск;islands#blueDotIcon
51.5013775;46.1233093;Энгельс, Саратовская область;Энгельс;islands#blueDotIcon
61.789221;34.3688041;Петрозаводск, Республика Карелия;Петрозаводск;islands#blueDotIcon
50.5497277;137.0099189;Комсомольск-на-Амуре, Хабаровский край;Комсомольск-на-Амуре;islands#blueDotIcon
50.2600417;127.5337378;Благовещенск, Амурская область;Благовещенск;islands#blueDotIcon
55.6412879;51.8160376;Нижнекамск, Республика Татарстан;Нижнекамск;islands#blueDotIcon
43.4769604;43.5966578;Нальчик, Кабардино-Балкарская Республика;Нальчик;islands#blueDotIcon
52.7216164;41.4523988;Тамбов, Тамбовская область;Тамбов;islands#blueDotIcon
57.7679158;40.9269141;Кострома, Костромская область;Кострома;islands#blueDotIcon
53.6194416;55.9616172;Стерлитамак, Республика Башкортостан;Стерлитамак;islands#blueDotIcon
60.9339729;76.581077;Нижневартовск, Ханты-Мансийский автономный округ - Югра;Нижневартовск;islands#blueDotIcon
52.9680171;36.0994994;Орел, Орловская область;Орел;islands#blueDotIcon
59.1221553;37.9025005;Череповец, Вологодская область;Череповец;islands#blueDotIcon
55.4409357;65.3421169;Курган, Курганская область;Курган;islands#blueDotIcon
59.2189391;39.8933913;Вологда, Вологодская область;Вологда;islands#blueDotIcon
54.18671;45.18383;Саранск, Республика Мордовия;Саранск;islands#blueDotIcon
48.829992;44.7654586;Волжский, Волгоградская область;Волжский;islands#blueDotIcon
61.254032;73.3964;Сургут, Ханты-Мансийский автономный округ - Югра;Сургут;islands#blueDotIcon
55.5709361;38.2282099;Раменское, Московская область;Раменское;islands#blueDotIcon
55.0938743;38.7670121;Коломна, Московская область;Коломна;islands#blueDotIcon
55.9206499;37.9915576;Щелково, Московская область;Щелково;islands#blueDotIcon
55.784515;38.4449485;Электросталь, Московская область;Электросталь;islands#blueDotIcon
55.4091211;37.9041662;Домодедово, Московская область;Домодедово;islands#blueDotIcon
55.678223;37.2668096;Одинцово, Московская область;Одинцово;islands#blueDotIcon
55.8204707;37.3196942;Красногорск, Московская область;Красногорск;islands#blueDotIcon
55.9190049;37.8150443;Королев, Московская область;Королев;islands#blueDotIcon
55.6783142;37.89377;Люберцы, Московская область;Люберцы;islands#blueDotIcon
55.8917293;37.4396994;Химки, Московская область;Химки;islands#blueDotIcon
55.9094928;37.7339358;Мытищи, Московская область;Мытищи;islands#blueDotIcon
55.4308841;37.5453056;Подольск, Московская область;Подольск;islands#blueDotIcon
55.7997662;37.9373707;Балашиха, Московская область;Балашиха;islands#blueDotIcon
44.6347953;40.7242185;Лабинск, Краснодарский край;Лабинск;islands#blueDotIcon
45.2492346;38.1092674;Славянск-на-Кубани, Краснодарский край;Славянск-на-Кубани;islands#blueDotIcon
45.4344413;40.5750274;Кропоткин, Краснодарский край;Кропоткин;islands#blueDotIcon
44.5609447;38.0766832;Геленджик, Краснодарский край;Геленджик;islands#blueDotIcon
46.7112094;38.2747987;Ейск, Краснодарский край;Ейск;islands#blueDotIcon
44.894272;37.316887;Анапа, Краснодарский край;Анапа;islands#blueDotIcon
44.9993585;41.1294061;Армавир, Краснодарский край;Армавир;islands#blueDotIcon
48.0460281;39.9486772;Гуково, Ростовская область;Гуково;islands#blueDotIcon
47.138527;39.742348;Батайск, Ростовская область;Батайск;islands#blueDotIcon
47.1139219;39.4259657;Азов, Ростовская область;Азов;islands#blueDotIcon
47.5182668;42.1525935;Волгодонск, Ростовская область;Волгодонск;islands#blueDotIcon
48.2755188;40.2318349;Каменск-Шахтинский, Ростовская область;Каменск-Шахтинский;islands#blueDotIcon
47.7962698;39.8935604;Новошахтинск, Ростовская область;Новошахтинск;islands#blueDotIcon
47.41066;40.101986;Новочеркасск, Ростовская область;Новочеркасск;islands#blueDotIcon
47.2222596;39.7198736;Ростов-на-Дону, Ростовская область;Ростов-на-Дону;islands#blueDotIcon
;;Донецк, Донецкая Народная Республика;Донецк;islands#blueDotIcon
57.6263877;39.8933705;Ярославль, Ярославская область;Ярославль;islands#blueDotIcon
48.7081906;44.5153353;Волгоград, Волгоградская область;Волгоград;islands#blueDotIcon
43.024593;44.68211;Владикавказ, Республика Северная Осетия - Алания;Владикавказ;islands#blueDotIcon
54.3150278;48.403373;Ульяновск, Ульяновская область;Ульяновск;islands#blueDotIcon
51.8357841;107.5839105;Улан-Удэ, Республика Бурятия;Улан-Удэ;islands#blueDotIcon
54.7261409;55.947499;Уфа, Республика Башкортостан;Уфа;islands#blueDotIcon
57.153534;65.542274;Тюмень, Тюменская область;Тюмень;islands#blueDotIcon
54.1930321;37.61754;Тула, Тульская область;Тула;islands#blueDotIcon
56.4887526;84.9523434;Томск, Томская область;Томск;islands#blueDotIcon
53.5098845;49.4189187;Тольятти, Самарская область;Тольятти;islands#blueDotIcon
47.2392184;38.8755031;Таганрог, Ростовская область;Таганрог;islands#blueDotIcon
45.0433245;41.9690934;Ставрополь, Ставропольский край;Ставрополь;islands#blueDotIcon
59.938732;30.316229;Санкт-Петербург, Санкт-Петербург;Санкт-Петербург;islands#blueDotIcon
43.5854823;39.723109;Сочи, Краснодарский край;Сочи;islands#blueDotIcon
54.7789701;32.0471812;Смоленск, Смоленская область;Смоленск;islands#blueDotIcon
44.9494978;34.1003633;Симферополь, Республика Крым;Симферополь;islands#blueDotIcon
44.599058;33.4881648;Севастополь, Севастополь;Севастополь;islands#blueDotIcon
51.530018;46.034683;Саратов, Саратовская область;Саратов;islands#blueDotIcon
53.1956255;50.1014927;Самара, Самарская область;Самара;islands#blueDotIcon
54.6702523;39.6884424;Рязань, Рязанская область;Рязань;islands#blueDotIcon
58.0108531;56.2318528;Пермь, Пермский край;Пермь;islands#blueDotIcon
53.1953477;45.0190437;Пенза, Пензенская область;Пенза;islands#blueDotIcon
51.7671248;55.0978517;Оренбург, Оренбургская область;Оренбург;islands#blueDotIcon
54.991375;73.371529;Омск, Омская область;Омск;islands#blueDotIcon
54.9678145;82.9515989;Новосибирск, Новосибирская область;Новосибирск;islands#blueDotIcon
44.7239578;37.7690711;Новороссийск, Краснодарский край;Новороссийск;islands#blueDotIcon
53.7575903;87.1358494;Новокузнецк, Кемеровская область;Новокузнецк;islands#blueDotIcon
56.3264816;44.0051395;Нижний Новгород, Нижегородская область;Нижний Новгород;islands#blueDotIcon
55.7419774;52.399207;Набережные Челны, Республика Татарстан;Набережные Челны;islands#blueDotIcon
;;Мариуполь, Донецкая Народная Республика;Мариуполь;islands#blueDotIcon
42.9830241;47.5048717;Махачкала, Республика Дагестан;Махачкала;islands#blueDotIcon
53.4070173;58.9811297;Магнитогорск, Челябинская область;Магнитогорск;islands#blueDotIcon
52.6051488;39.5963775;Липецк, Липецкая область;Липецк;islands#blueDotIcon
51.7309249;36.1923123;Курск, Курская область;Курск;islands#blueDotIcon
44.9494978;34.1003633;Крым, Республика Крым;Крым;islands#blueDotIcon
56.0091173;92.872586;Красноярск, Красноярский край;Красноярск;islands#blueDotIcon
45.0351532;38.9772396;Краснодар, Краснодарский край;Краснодар;islands#blueDotIcon
58.6035661;49.6666241;Киров, Кировская область;Киров;islands#blueDotIcon
55.3550907;86.0871213;Кемерово, Кемеровская область;Кемерово;islands#blueDotIcon
55.7946485;49.1115022;Казань, Республика Татарстан;Казань;islands#blueDotIcon
54.710128;20.5105838;Калининград, Калининградская область;Калининград;islands#blueDotIcon
56.8605175;53.1977307;Ижевск, Удмуртская Республика;Ижевск;islands#blueDotIcon
52.2891225;104.279829;Иркутск, Иркутская область;Иркутск;islands#blueDotIcon
48.4812568;135.0762968;Хабаровск, Хабаровский край;Хабаровск;islands#blueDotIcon
56.8382071;60.6007886;Екатеринбург, Свердловская область;Екатеринбург;islands#blueDotIcon
52.033409;113.500893;Чита, Забайкальский край;Чита;islands#blueDotIcon
55.1598408;61.4025547;Челябинск, Челябинская область;Челябинск;islands#blueDotIcon
56.1399598;47.2480999;Чебоксары, Чувашская Республика;Чебоксары;islands#blueDotIcon
53.2423778;34.3668288;Брянск, Брянская область;Брянск;islands#blueDotIcon
50.5955595;36.5873394;Белгород, Белгородская область;Белгород;islands#blueDotIcon
53.3475493;83.7788448;Барнаул, Алтайский край;Барнаул;islands#blueDotIcon
46.3498308;48.0326203;Астрахань, Астраханская область;Астрахань;islands#blueDotIcon
47.7094622;40.2154859;Шахты, Ростовская область;Шахты;islands#blueDotIcon
51.6605982;39.2005858;Воронеж, Воронежская область;Воронеж;islands#blueDotIcon
55.7505412;37.6174782;Москва, Москва;Москва;islands#blueDotIcon
